
[00:00:00.000 --> 00:00:25.000]  約翰逸書三章,我們來讀十六節到十八節,我們一起來讀,約翰逸書三章,十六節到十八節,三章以後,請我們一起來讀,一起來。
[00:14:20.000 --> 00:14:22.000]  是以天下之事爲主的事件
[00:14:22.000 --> 00:14:24.000]  是以天下之事爲主的事件
[00:14:24.000 --> 00:14:26.000]  是以天下之事爲主的事件
[00:14:26.000 --> 00:14:28.000]  是以天下之事爲主的事件
[00:14:28.000 --> 00:14:30.000]  是以天下之事爲主的事件
[00:14:30.000 --> 00:14:32.000]  是以天下之事爲主的事件
[00:14:32.000 --> 00:14:34.000]  是以天下之事爲主的事件
[00:14:34.000 --> 00:14:36.000]  是以天下之事爲主的事件
[00:14:36.000 --> 00:14:38.000]  是以天下之事爲主的事件
[00:14:38.000 --> 00:14:40.000]  是以天下之事爲主的事件
[00:14:40.000 --> 00:14:42.000]  是以天下之事爲主的事件
[00:14:42.000 --> 00:14:44.000]  是以天下之事爲主的事件
[00:14:44.000 --> 00:14:46.000]  是以天下之事爲主的事件
[00:14:46.000 --> 00:14:48.000]  是以天下之事爲主的事件
[00:14:48.000 --> 00:14:50.000]  是以天下之事爲主的事件
[00:14:50.000 --> 00:14:52.000]  是以天下之事爲主的事件
[00:14:52.000 --> 00:14:54.000]  是以天下之事爲主的事件
[00:14:54.000 --> 00:14:56.000]  是以天下之事爲主的事件
[00:14:56.000 --> 00:14:58.000]  是以天下之事爲主的事件
[00:14:58.000 --> 00:15:00.000]  是以天下之事爲主的事件
[00:15:00.000 --> 00:15:02.000]  是以天下之事爲主的事件
[00:15:02.000 --> 00:15:04.000]  是以天下之事爲主的事件
[00:15:04.000 --> 00:15:06.000]  是以天下之事爲主的事件
[00:15:06.000 --> 00:15:08.000]  是以天下之事爲主的事件
[00:15:08.000 --> 00:15:10.000]  是以天下之事爲主的事件
[00:15:10.000 --> 00:15:12.000]  是以天下之事爲主的事件
[00:15:12.000 --> 00:15:14.000]  是以天下之事爲主的事件
[00:15:14.000 --> 00:15:16.000]  是以天下之事爲主的事件
[00:15:16.000 --> 00:15:18.000]  是以天下之事爲主的事件
[00:15:18.000 --> 00:15:20.000]  是以天下之事爲主的事件
[00:15:20.000 --> 00:15:22.000]  是以天下之事爲主的事件
[00:15:22.000 --> 00:15:24.000]  是以天下之事爲主的事件
[00:15:24.000 --> 00:15:26.000]  是以天下之事爲主的事件
[00:15:26.000 --> 00:15:28.000]  是以天下之事爲主的事件
[00:15:28.000 --> 00:15:30.000]  是以天下之事爲主的事件
[00:15:30.000 --> 00:15:32.000]  是以天下之事爲主的事件
[00:15:32.000 --> 00:15:34.000]  是以天下之事爲主的事件
[00:15:34.000 --> 00:15:36.000]  是以天下之事爲主的事件
[00:15:36.000 --> 00:15:38.000]  是以天下之事爲主的事件
[00:15:38.000 --> 00:15:40.000]  是以天下之事爲主的事件
[00:15:40.000 --> 00:15:42.000]  是以天下之事爲主的事件
[00:15:42.000 --> 00:15:44.000]  是以天下之事爲主的事件
[00:15:44.000 --> 00:15:46.000]  是以天下之事爲主的事件
[00:15:46.000 --> 00:15:48.000]  是以天下之事爲主的事件
[00:15:48.000 --> 00:15:50.000]  是以天下之事爲主的事件
[00:15:50.000 --> 00:15:52.000]  是以天下之事爲主的事件
[00:15:52.000 --> 00:15:54.000]  是以天下之事爲主的事件
[00:15:54.000 --> 00:15:56.000]  是以天下之事爲主的事件
[00:15:56.000 --> 00:15:58.000]  是以天下之事爲主的事件
[00:15:58.000 --> 00:16:00.000]  是以天下之事爲主的事件
[00:16:00.000 --> 00:16:02.000]  是以天下之事爲主的事件
[00:16:02.000 --> 00:16:04.000]  是以天下之事爲主的事件
[00:16:04.000 --> 00:16:06.000]  是以天下之事爲主的事件
[00:16:06.000 --> 00:16:08.000]  是以天下之事爲主的事件
[00:16:08.000 --> 00:16:10.000]  是以天下之事爲主的事件
[00:16:10.000 --> 00:16:12.000]  是以天下之事爲主的事件
[00:16:12.000 --> 00:16:14.000]  是以天下之事爲主的事件
[00:16:14.000 --> 00:16:16.000]  是以天下之事爲主的事件
[00:16:16.000 --> 00:16:18.000]  是以天下之事爲主的事件
[00:16:18.000 --> 00:16:20.000]  是以天下之事爲主的事件
[00:16:20.000 --> 00:16:22.000]  是以天下之事爲主的事件
[00:16:22.000 --> 00:16:24.000]  是以天下之事爲主的事件
[00:16:24.000 --> 00:16:26.000]  是以天下之事爲主的事件
[00:16:26.000 --> 00:16:28.000]  是以天下之事爲主的事件
[00:16:28.000 --> 00:16:30.000]  是以天下之事爲主的事件
[00:16:30.000 --> 00:16:32.000]  是以天下之事爲主的事件
[00:16:32.000 --> 00:16:34.000]  是以天下之事爲主的事件
[00:16:34.000 --> 00:16:36.000]  是以天下之事爲主的事件
[00:16:36.000 --> 00:16:38.000]  是以天下之事爲主的事件
[00:16:38.000 --> 00:16:40.000]  是以天下之事爲主的事件
[00:16:40.000 --> 00:16:42.000]  是以天下之事爲主的事件
[00:16:42.000 --> 00:16:44.000]  是以天下之事爲主的事件
[00:16:44.000 --> 00:16:46.000]  是以天下之事爲主的事件
[00:16:46.000 --> 00:16:48.000]  是以天下之事爲主的事件
[00:16:48.000 --> 00:16:50.000]  是以天下之事爲主的事件
[00:16:50.000 --> 00:16:52.000]  是以天下之事爲主的事件
[00:16:52.000 --> 00:16:54.000]  是以天下之事爲主的事件
[00:16:54.000 --> 00:16:56.000]  是以天下之事爲主的事件
[00:16:56.000 --> 00:16:58.000]  是以天下之事爲主的事件
[00:16:58.000 --> 00:17:00.000]  是以天下之事爲主的事件
[00:17:00.000 --> 00:17:02.000]  是以天下之事爲主的事件
[00:17:02.000 --> 00:17:04.000]  是以天下之事爲主的事件
[00:17:04.000 --> 00:17:06.000]  是以天下之事爲主的事件
[00:17:06.000 --> 00:17:08.000]  是以天下之事爲主的事件
[00:17:08.000 --> 00:17:10.000]  是以天下之事爲主的事件
[00:17:10.000 --> 00:17:12.000]  是以天下之事爲主的事件
[00:17:12.000 --> 00:17:14.000]  是以天下之事爲主的事件
[00:17:14.000 --> 00:17:16.000]  是以天下之事爲主的事件
[00:17:16.000 --> 00:17:18.000]  是以天下之事爲主的事件
[00:17:18.000 --> 00:17:20.000]  是以天下之事爲主的事件
[00:17:20.000 --> 00:17:22.000]  是以天下之事爲主的事件
[00:17:22.000 --> 00:17:24.000]  是以天下之事爲主的事件
[00:17:24.000 --> 00:17:26.000]  是以天下之事爲主的事件
[00:17:26.000 --> 00:17:28.000]  是以天下之事爲主的事件
[00:17:28.000 --> 00:17:30.000]  是以天下之事爲主的事件
[00:17:30.000 --> 00:17:32.000]  是以天下之事爲主的事件
[00:17:32.000 --> 00:17:34.000]  是以天下之事爲主的事件
[00:17:34.000 --> 00:17:36.000]  是以天下之事爲主的事件
[00:17:36.000 --> 00:17:38.000]  是以天下之事爲主的事件
[00:17:38.000 --> 00:17:40.000]  是以天下之事爲主的事件
[00:17:40.000 --> 00:17:42.000]  是以天下之事爲主的事件
[00:17:42.000 --> 00:17:44.000]  是以天下之事爲主的事件
[00:17:44.000 --> 00:17:46.000]  是以天下之事爲主的事件
[00:17:46.000 --> 00:17:48.000]  是以天下之事爲主的事件
[00:17:48.000 --> 00:17:50.000]  是以天下之事爲主的事件
[00:17:50.000 --> 00:17:52.000]  是以天下之事爲主的事件
[00:17:52.000 --> 00:17:54.000]  是以天下之事爲主的事件
[00:17:54.000 --> 00:17:56.000]  是以天下之事爲主的事件
[00:17:56.000 --> 00:17:58.000]  是以天下之事爲主的事件
[00:17:58.000 --> 00:18:00.000]  是以天下之事爲主的事件
[00:18:00.000 --> 00:18:02.000]  是以天下之事爲主的事件
[00:18:02.000 --> 00:18:04.000]  是以天下之事爲主的事件
[00:18:04.000 --> 00:18:06.000]  是以天下之事爲主的事件
[00:18:06.000 --> 00:18:08.000]  是以天下之事爲主的事件
[00:18:08.000 --> 00:18:10.000]  是以天下之事爲主的事件
[00:18:10.000 --> 00:18:12.000]  是以天下之事爲主的事件
[00:18:12.000 --> 00:18:14.000]  是以天下之事爲主的事件
[00:18:14.000 --> 00:18:16.000]  是以天下之事爲主的事件
[00:18:16.000 --> 00:18:18.000]  是以天下之事爲主的事件
[00:18:18.000 --> 00:18:20.000]  是以天下之事爲主的事件
[00:18:20.000 --> 00:18:22.000]  是以天下之事爲主的事件
[00:18:22.000 --> 00:18:24.000]  是以天下之事爲主的事件
[00:18:24.000 --> 00:18:26.000]  是以天下之事爲主的事件
[00:18:26.000 --> 00:18:28.000]  是以天下之事爲主的事件
[00:18:28.000 --> 00:18:30.000]  是以天下之事爲主的事件
[00:18:30.000 --> 00:18:32.000]  是以天下之事爲主的事件
[00:18:32.000 --> 00:18:34.000]  是以天下之事爲主的事件
[00:18:34.000 --> 00:18:36.000]  是以天下之事爲主的事件
[00:18:36.000 --> 00:18:38.000]  是以天下之事爲主的事件
[00:18:38.000 --> 00:18:40.000]  是以天下之事爲主的事件
[00:18:40.000 --> 00:18:42.000]  是以天下之事爲主的事件
[00:18:42.000 --> 00:18:44.000]  是以天下之事爲主的事件
[00:18:44.000 --> 00:18:46.000]  是以天下之事爲主的事件
[00:18:46.000 --> 00:18:48.000]  是以天下之事爲主的事件
[00:18:48.000 --> 00:18:50.000]  是以天下之事爲主的事件
[00:18:50.000 --> 00:18:52.000]  是以天下之事爲主的事件
[00:18:52.000 --> 00:18:54.000]  是以天下之事爲主的事件
[00:18:54.000 --> 00:18:56.000]  是以天下之事爲主的事件
[00:18:56.000 --> 00:18:58.000]  是以天下之事爲主的事件
[00:18:58.000 --> 00:19:00.000]  是以天下之事爲主的事件
[00:19:00.000 --> 00:19:02.000]  是以天下之事爲主的事件
[00:19:02.000 --> 00:19:04.000]  是以天下之事爲主的事件
[00:19:04.000 --> 00:19:06.000]  是以天下之事爲主的事件
[00:19:06.000 --> 00:19:08.000]  是以天下之事爲主的事件
[00:19:08.000 --> 00:19:10.000]  是以天下之事爲主的事件
[00:19:10.000 --> 00:19:12.000]  是以天下之事爲主的事件
[00:19:12.000 --> 00:19:14.000]  是以天下之事爲主的事件
[00:19:14.000 --> 00:19:16.000]  是以天下之事爲主的事件
[00:19:16.000 --> 00:19:18.000]  是以天下之事爲主的事件
[00:19:18.000 --> 00:19:20.000]  是以天下之事爲主的事件
[00:19:20.000 --> 00:19:22.000]  是以天下之事爲主的事件
[00:19:22.000 --> 00:19:24.000]  是以天下之事爲主的事件
[00:19:24.000 --> 00:19:26.000]  是以天下之事爲主的事件
[00:19:26.000 --> 00:19:28.000]  是以天下之事爲主的事件
[00:19:28.000 --> 00:19:30.000]  是以天下之事爲主的事件
[00:19:30.000 --> 00:19:32.000]  是以天下之事爲主的事件
[00:19:32.000 --> 00:19:34.000]  是以天下之事爲主的事件
[00:19:34.000 --> 00:19:36.000]  是以天下之事爲主的事件
[00:19:36.000 --> 00:19:38.000]  是以天下之事爲主的事件
[00:19:38.000 --> 00:19:40.000]  是以天下之事爲主的事件
[00:19:40.000 --> 00:19:42.000]  是以天下之事爲主的事件
[00:19:42.000 --> 00:19:44.000]  是以天下之事爲主的事件
[00:19:44.000 --> 00:19:46.000]  是以天下之事爲主的事件
[00:19:46.000 --> 00:19:48.000]  是以天下之事爲主的事件
[00:19:48.000 --> 00:19:50.000]  是以天下之事爲主的事件
[00:19:50.000 --> 00:19:52.000]  是以天下之事爲主的事件
[00:19:52.000 --> 00:19:54.000]  是以天下之事爲主的事件
[00:19:54.000 --> 00:19:56.000]  是以天下之事爲主的事件
[00:19:56.000 --> 00:19:58.000]  是以天下之事爲主的事件
[00:19:58.000 --> 00:20:00.000]  是以天下之事爲主的事件
[00:20:00.000 --> 00:20:02.000]  是以天下之事爲主的事件
[00:20:02.000 --> 00:20:04.000]  是以天下之事爲主的事件
[00:20:04.000 --> 00:20:06.000]  是以天下之事爲主的事件
[00:20:06.000 --> 00:20:08.000]  是以天下之事爲主的事件
[00:20:08.000 --> 00:20:10.000]  是以天下之事爲主的事件
[00:20:10.000 --> 00:20:12.000]  是以天下之事爲主的事件
[00:20:12.000 --> 00:20:14.000]  是以天下之事爲主的事件
[00:20:14.000 --> 00:20:16.000]  是以天下之事爲主的事件
[00:20:16.000 --> 00:20:18.000]  是以天下之事爲主的事件
[00:20:18.000 --> 00:20:20.000]  是以天下之事爲主的事件
[00:20:20.000 --> 00:20:22.000]  是以天下之事爲主的事件
[00:20:22.000 --> 00:20:24.000]  是以天下之事爲主的事件
[00:20:24.000 --> 00:20:26.000]  是以天下之事爲主的事件
[00:20:26.000 --> 00:20:28.000]  是以天下之事爲主的事件
[00:20:28.000 --> 00:20:30.000]  是以天下之事爲主的事件
[00:20:30.000 --> 00:20:32.000]  是以天下之事爲主的事件
[00:20:32.000 --> 00:20:34.000]  是以天下之事爲主的事件
[00:20:34.000 --> 00:20:36.000]  是以天下之事爲主的事件
[00:20:36.000 --> 00:20:38.000]  是以天下之事爲主的事件
[00:20:38.000 --> 00:20:40.000]  是以天下之事爲主的事件
[00:20:40.000 --> 00:20:42.000]  是以天下之事爲主的事件
[00:20:42.000 --> 00:20:44.000]  是以天下之事爲主的事件
[00:20:44.000 --> 00:20:46.000]  是以天下之事爲主的事件
[00:20:46.000 --> 00:20:48.000]  是以天下之事爲主的事件
[00:20:48.000 --> 00:20:50.000]  是以天下之事爲主的事件
[00:20:50.000 --> 00:20:52.000]  是以天下之事爲主的事件
[00:20:52.000 --> 00:20:54.000]  是以天下之事爲主的事件
[00:20:54.000 --> 00:20:56.000]  是以天下之事爲主的事件
[00:20:56.000 --> 00:20:58.000]  是以天下之事爲主的事件
[00:20:58.000 --> 00:21:00.000]  是以天下之事爲主的事件
[00:21:00.000 --> 00:21:02.000]  是以天下之事爲主的事件
[00:21:02.000 --> 00:21:04.000]  是以天下之事爲主的事件
[00:21:04.000 --> 00:21:06.000]  是以天下之事爲主的事件
[00:21:06.000 --> 00:21:08.000]  是以天下之事爲主的事件
[00:21:08.000 --> 00:21:10.000]  是以天下之事爲主的事件
[00:21:10.000 --> 00:21:12.000]  是以天下之事爲主的事件
[00:21:12.000 --> 00:21:14.000]  是以天下之事爲主的事件
[00:21:14.000 --> 00:21:16.000]  是以天下之事爲主的事件
[00:21:16.000 --> 00:21:18.000]  是以天下之事爲主的事件
[00:21:18.000 --> 00:21:20.000]  是以天下之事爲主的事件
[00:21:20.000 --> 00:21:22.000]  是以天下之事爲主的事件
[00:21:22.000 --> 00:21:24.000]  是以天下之事爲主的事件
[00:21:24.000 --> 00:21:26.000]  是以天下之事爲主的事件
[00:21:26.000 --> 00:21:28.000]  是以天下之事爲主的事件
[00:21:28.000 --> 00:21:30.000]  是以天下之事爲主的事件
[00:21:30.000 --> 00:21:32.000]  是以天下之事爲主的事件
[00:21:32.000 --> 00:21:34.000]  是以天下之事爲主的事件
[00:21:34.000 --> 00:21:36.000]  是以天下之事爲主的事件
[00:21:36.000 --> 00:21:38.000]  是以天下之事爲主的事件
[00:21:38.000 --> 00:21:40.000]  是以天下之事爲主的事件
[00:21:40.000 --> 00:21:42.000]  是以天下之事爲主的事件
[00:21:42.000 --> 00:21:44.000]  是以天下之事爲主的事件
[00:21:44.000 --> 00:21:46.000]  是以天下之事爲主的事件
[00:21:46.000 --> 00:21:48.000]  是以天下之事爲主的事件
[00:21:48.000 --> 00:21:50.000]  是以天下之事爲主的事件
[00:21:50.000 --> 00:21:52.000]  是以天下之事爲主的事件
[00:21:52.000 --> 00:21:54.000]  是以天下之事爲主的事件
[00:21:54.000 --> 00:21:56.000]  是以天下之事爲主的事件
[00:21:56.000 --> 00:21:58.000]  是以天下之事爲主的事件
[00:21:58.000 --> 00:22:00.000]  是以天下之事爲主的事件
[00:22:00.000 --> 00:22:02.000]  是以天下之事爲主的事件
[00:22:02.000 --> 00:22:04.000]  是以天下之事爲主的事件
[00:22:04.000 --> 00:22:06.000]  是以天下之事爲主的事件
[00:22:06.000 --> 00:22:08.000]  是以天下之事爲主的事件
[00:22:08.000 --> 00:22:10.000]  是以天下之事爲主的事件
[00:22:10.000 --> 00:22:12.000]  是以天下之事爲主的事件
[00:22:12.000 --> 00:22:14.000]  是以天下之事爲主的事件
[00:22:14.000 --> 00:22:16.000]  是以天下之事爲主的事件
[00:22:16.000 --> 00:22:18.000]  是以天下之事爲主的事件
[00:22:18.000 --> 00:22:20.000]  是以天下之事爲主的事件
[00:22:20.000 --> 00:22:22.000]  是以天下之事爲主的事件
[00:22:22.000 --> 00:22:24.000]  是以天下之事爲主的事件
[00:22:24.000 --> 00:22:26.000]  是以天下之事爲主的事件
[00:22:26.000 --> 00:22:28.000]  是以天下之事爲主的事件
[00:22:28.000 --> 00:22:30.000]  是以天下之事爲主的事件
[00:22:30.000 --> 00:22:32.000]  是以天下之事爲主的事件
[00:22:32.000 --> 00:22:34.000]  是以天下之事爲主的事件
[00:22:34.000 --> 00:22:36.000]  是以天下之事爲主的事件
[00:22:36.000 --> 00:22:38.000]  是以天下之事爲主的事件
[00:22:38.000 --> 00:22:40.000]  是以天下之事爲主的事件
[00:22:40.000 --> 00:22:42.000]  是以天下之事爲主的事件
[00:22:42.000 --> 00:22:44.000]  是以天下之事爲主的事件
[00:22:44.000 --> 00:22:46.000]  是以天下之事爲主的事件
[00:22:46.000 --> 00:22:48.000]  是以天下之事爲主的事件
[00:22:48.000 --> 00:22:50.000]  是以天下之事爲主的事件
[00:22:50.000 --> 00:22:52.000]  是以天下之事爲主的事件
[00:22:52.000 --> 00:22:54.000]  是以天下之事爲主的事件
[00:22:54.000 --> 00:22:56.000]  是以天下之事爲主的事件
[00:22:56.000 --> 00:22:58.000]  是以天下之事爲主的事件
[00:22:58.000 --> 00:23:00.000]  是以天下之事爲主的事件
[00:23:00.000 --> 00:23:02.000]  是以天下之事爲主的事件
[00:23:02.000 --> 00:23:04.000]  是以天下之事爲主的事件
[00:23:04.000 --> 00:23:06.000]  是以天下之事爲主的事件
[00:23:06.000 --> 00:23:08.000]  是以天下之事爲主的事件
[00:23:08.000 --> 00:23:10.000]  是以天下之事爲主的事件
[00:23:10.000 --> 00:23:12.000]  是以天下之事爲主的事件
[00:23:12.000 --> 00:23:14.000]  是以天下之事爲主的事件
[00:23:14.000 --> 00:23:16.000]  是以天下之事爲主的事件
[00:23:16.000 --> 00:23:18.000]  是以天下之事爲主的事件
[00:23:18.000 --> 00:23:20.000]  是以天下之事爲主的事件
[00:23:20.000 --> 00:23:22.000]  是以天下之事爲主的事件
[00:23:22.000 --> 00:23:24.000]  是以天下之事爲主的事件
[00:23:24.000 --> 00:23:26.000]  是以天下之事爲主的事件
[00:23:26.000 --> 00:23:28.000]  是以天下之事爲主的事件
[00:23:28.000 --> 00:23:30.000]  是以天下之事爲主的事件
[00:23:30.000 --> 00:23:32.000]  是以天下之事爲主的事件
[00:23:32.000 --> 00:23:34.000]  是以天下之事爲主的事件
[00:23:34.000 --> 00:23:36.000]  是以天下之事爲主的事件
[00:23:36.000 --> 00:23:38.000]  是以天下之事爲主的事件
[00:23:38.000 --> 00:23:40.000]  是以天下之事爲主的事件
[00:23:40.000 --> 00:23:42.000]  是以天下之事爲主的事件
[00:23:42.000 --> 00:23:44.000]  是以天下之事爲主的事件
[00:23:44.000 --> 00:23:46.000]  是以天下之事爲主的事件
[00:23:46.000 --> 00:23:48.000]  是以天下之事爲主的事件
[00:23:48.000 --> 00:23:50.000]  是以天下之事爲主的事件
[00:23:50.000 --> 00:23:52.000]  是以天下之事爲主的事件
[00:23:52.000 --> 00:23:54.000]  是以天下之事爲主的事件
[00:23:54.000 --> 00:23:56.000]  是以天下之事爲主的事件
